Date,Open,High,Low,Close
20060406,7050,7055,7013.5,7036
20060407,7039,7050.5,6944,6960
20060410,6953.5,7009.5,6949,7007
20060411,6993,7003.5,6885,6910
20060412,6900.5,6919,6861.5,6901.5
20060413,6910,6927,6873,6917.5
20060418,6915,6923,6865.5,6902.5
20060419,6965.5,7016,6961.5,6992.5
20060420,6996.5,7090,6994.5,7059
20060421,7076.5,7108,7068.5,7096.5
20060424,7051,7092.5,7044,7077.5
20060425,7085.5,7108.5,7048,7078.5
20060426,7091,7120,7078.5,7105
20060427,7113,7113.5,7017,7062
20060428,7046,7048,6993,7000.5
20060502,6997.5,7061,6997.5,7043.5
20060503,7066.5,7075,6954,6969
20060504,6976.5,7043,6958,7029.5
20060505,7034.5,7132.5,7034.5,7102.5
20060508,7126.5,7145.5,7109,7112.5
20060509,7117.5,7135,7085.5,7130.5
20060510,7112,7151,7094,7111.5
20060511,7111.5,7153.5,7026,7041
20060512,7013.5,7033.5,6879.5,6907
20060515,6857,6892,6768,6846
20060516,6833.5,6885,6795,6842.5
20060517,6870,6881.5,6635.5,6643.5
20060518,6676,6702.5,6574.5,6650.5
20060519,6642.5,6686.5,6617.5,6658
20060522,6628,6628,6498,6515
20060523,6556,6688,6553,6649
20060524,6610,6636,6528.5,6574
20060525,6596.5,6726.5,6551.5,6684
20060526,6725,6771,6701,6765
20060529,6755,6761,6728,6743
20060530,6729,6740,6574,6587
20060531,6532.5,6687,6514,6672
20060601,6669,6695,6580,6683
20060602,6676,6757,6636.5,6657.5
20060605,6648.5,6672,6569.5,6602
20060606,6543,6571.5,6454,6480
20060607,6502,6551,6450.5,6521
20060608,6417.5,6450.5,6339.5,6374
20060609,6440.5,6463,6378,6442
20060612,6394,6445.5,6350.5,6358
20060613,6298,6310.5,6236.5,6263.5
20060614,6254.5,6309,6215.5,6282.5
20060615,6319.5,6452,6306,6402.5
20060616,6453.5,6475.5,6340.5,6346
20060619,6381.5,6456.5,6397.5,6412.5
20060620,6350.5,6483,6348,6460
20060621,6446.5,6502,6386,6474
20060622,6539.5,6553,6470.5,6501
20060623,6503,6532.5,6471,6501
20060626,6518,6537.5,6472.5,6488.5
20060627,6527.5,6527.5,6382.5,6429.5
20060628,6378,6462,6373,6427
20060629,6483.5,6564,6451.5,6547
20060630,6629.5,6673.5,6597,6661
20060703,6659.5,6698.5,6644.5,6694
20060704,6696.5,6699,6657,6695
20060705,6657.5,6677,6576.5,6592.5
20060706,6617.5,6672,6598.5,6659
20060707,6632.5,6686.5,6592.5,6647
20060710,6642.5,6679,6598,6672
20060711,6648,6650.5,6557.5,6587
20060712,6629,6667.5,6581.5,6596
20060713,6551.5,6557.5,6439.5,6492.5
20060714,6425.5,6468,6378.5,6388
20060717,6417.5,6422,6326,6375.5
20060718,6367.5,6409,6325.5,6347.5
20060719,6385.5,6513.5,6362,6499
20060720,6537.5,6549.5,6495,6506
20060721,6476.5,6499,6381,6410.5
20060724,6423.5,6548,6416,6529.5
20060725,6540.5,6580.5,6501.5,6522.5
20060726,6544.5,6559.5,6513,6545.5
20060727,6583,6626,6556,6619.5
20060728,6596.5,6675.5,6577.5,6665.5
20060731,6662,6668,6628.5,6638.5
20060801,6640,6651.5,6540,6554
20060802,6583.5,6658.5,6577.5,6633.5
20060803,6643.5,6651,6545.5,6603
20060804,6645,6697.5,6610.5,6673.5
20060807,6580,6619,6566.5,6581.5
20060808,6629.5,6632.5,6552.5,6603
20060809,6606.5,6667.5,6564.5,6653
20060810,6604.5,6608.5,6507,6588.5
20060811,6612,6624.5,6552,6576.5
20060814,6618,6653,6599.5,6643.5
20060815,6614.5,6743.5,6610,6730
20060816,6744,6783.5,6713,6759
20060817,6768.5,6794,6751.5,6781.5
20060818,6780,6797.5,6750.5,6765
20060821,6769.5,6771,6718.5,6738.5
20060822,6772.5,6780.5,6702.5,6766
20060823,6762,6766.5,6706,6722
20060824,6718.5,6794.5,6686.5,6760.5
20060825,6756.5,6777.5,6725,6757.5
20060828,6741.5,6815.5,6710.5,6799
20060829,6806.5,6825,6780,6793.5
20060830,6823,6828.5,6794.5,6815
20060831,6823.5,6834.5,6782,6795.5
20060901,6810.5,6849.5,6798,6817
20060904,6841,6858,6833,6852
20060905,6849.5,6854,6797.5,6819.5
20060906,6830.5,6833,6739,6757.5
20060907,6728.5,6741.5,6691,6712
20060908,6732.5,6751,6711,6734.5
